Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,7.486094,7.489528,7.499839,7.512452,7.525425,7.537985,7.549863,7.561006,7.571444,7.581235,7.590444,7.599131,7.60735,7.615147,7.622564,7.629635,7.636392,7.642861,7.649067,7.655029,7.660767,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Male: 0.5% reduction in HbA1c,6.986094,7.258094,7.394305,7.464329,7.503481,7.527978,7.5453,7.558925,7.570495,7.580802,7.590247,7.599041,7.607308,7.615128,7.622555,7.629631,7.63639,7.642861,7.649066,7.655029,7.660766,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Male: 10mmHg in SBP,7.486094,7.489528,7.499839,7.512452,7.525425,7.537985,7.549863,7.561006,7.571444,7.581235,7.590444,7.599131,7.60735,7.615147,7.622564,7.629635,7.636392,7.642861,7.649067,7.655029,7.660767,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Male: 0.5mmol/l reduction in LDL,7.486094,7.489528,7.499839,7.512452,7.525425,7.537985,7.549863,7.561006,7.571444,7.581235,7.590444,7.599131,7.60735,7.615147,7.622564,7.629635,7.636392,7.642861,7.649067,7.655029,7.660767,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Male: 1 unit reduction in BMI,7.486094,7.489528,7.499839,7.512452,7.525425,7.537985,7.549863,7.561006,7.571444,7.581235,7.590444,7.599131,7.60735,7.615147,7.622564,7.629635,7.636392,7.642861,7.649067,7.655029,7.660767,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Male: All interventions combined,6.986094,7.258094,7.394305,7.464329,7.503481,7.527978,7.5453,7.558925,7.570495,7.580802,7.590247,7.599041,7.607308,7.615128,7.622555,7.629631,7.63639,7.642861,7.649066,7.655029,7.660766,7.666295,7.67163,7.676784,7.68177,7.686597,7.691277,7.695816,7.700224,7.704509,7.708676,7.712732,7.716683,7.720534,7.72429,7.727956,7.731536,7.735034,7.738452,7.741796
Rep. Female: Control,7.517094,7.534664,7.551422,7.566974,7.581287,7.594458,7.606615,7.617885,7.62838,7.638198,7.647419,7.656111,7.664332,7.672131,7.679548,7.68662,7.693377,7.699847,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
Rep. Female: 0.5% reduction in HbA1c,7.017094,7.289093,7.439441,7.515911,7.558002,7.58384,7.601773,7.615676,7.627373,7.637739,7.64721,7.656016,7.664289,7.672111,7.679539,7.686616,7.693375,7.699846,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
Rep. Female: 10mmHg in SBP,7.517094,7.534664,7.551422,7.566974,7.581287,7.594458,7.606615,7.617885,7.62838,7.638198,7.647419,7.656111,7.664332,7.672131,7.679548,7.68662,7.693377,7.699847,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
Rep. Female: 0.5mmol/l reduction in LDL,7.517094,7.534664,7.551422,7.566974,7.581287,7.594458,7.606615,7.617885,7.62838,7.638198,7.647419,7.656111,7.664332,7.672131,7.679548,7.68662,7.693377,7.699847,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
Rep. Female: 1 unit reduction in BMI,7.517094,7.534664,7.551422,7.566974,7.581287,7.594458,7.606615,7.617885,7.62838,7.638198,7.647419,7.656111,7.664332,7.672131,7.679548,7.68662,7.693377,7.699847,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
Rep. Female: All interventions combined,7.017094,7.289093,7.439441,7.515911,7.558002,7.58384,7.601773,7.615676,7.627373,7.637739,7.64721,7.656016,7.664289,7.672111,7.679539,7.686616,7.693375,7.699846,7.706052,7.712014,7.717752,7.72328,7.728615,7.733769,7.738755,7.743582,7.748261,7.752801,7.757209,7.761494,7.765661,7.769717,7.773668,7.777519,7.781275,7.784941,7.788521,7.792018,7.795438,7.798782
