Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Male: 0.5% reduction in HbA1c,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Male: 10mmHg in SBP,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Male: 0.5mmol/l reduction in LDL,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Male: 1 unit reduction in BMI,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Male: All interventions combined,1.238121,1.223275,1.219637,1.218676,1.21836,1.218205,1.218094,1.217998,1.217911,1.21783,1.217753,1.217681,1.217612,1.217547,1.217485,1.217426,1.217369,1.217315,1.217263,1.217213,1.217164,1.217118,1.217073,1.217029,1.216987,1.216946,1.216907,1.216868,1.216831,1.216795,1.21676,1.216725,1.216692,1.216659,1.216627,1.216596,1.216566,1.216536,1.216507,1.216478
Rep. Female: Control,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
Rep. Female: 0.5% reduction in HbA1c,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
Rep. Female: 10mmHg in SBP,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
Rep. Female: 0.5mmol/l reduction in LDL,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
Rep. Female: 1 unit reduction in BMI,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
Rep. Female: All interventions combined,1.293121,1.291365,1.290842,1.290623,1.290483,1.29037,1.290269,1.290176,1.290089,1.290008,1.289932,1.289859,1.289791,1.289726,1.289664,1.289604,1.289548,1.289493,1.289441,1.289391,1.289343,1.289296,1.289251,1.289208,1.289166,1.289125,1.289085,1.289047,1.28901,1.288973,1.288938,1.288904,1.28887,1.288838,1.288806,1.288774,1.288744,1.288714,1.288685,1.288657
