Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Male: 0.5% reduction in HbA1c,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Male: 10mmHg in SBP,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Male: 0.5mmol/l reduction in LDL,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Male: 1 unit reduction in BMI,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Male: All interventions combined,13.87537,13.82306,13.79574,13.7776,13.76328,13.75088,13.73969,13.72939,13.7198,13.71082,13.70239,13.69442,13.68687,13.67971,13.67288,13.66637,13.66014,13.65417,13.64845,13.64294,13.63764,13.63252,13.62758,13.62281,13.61819,13.61372,13.60938,13.60517,13.60108,13.59711,13.59324,13.58947,13.5858,13.58223,13.57874,13.57533,13.572,13.56875,13.56557,13.56246
Rep. Female: Control,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
Rep. Female: 0.5% reduction in HbA1c,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
Rep. Female: 10mmHg in SBP,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
Rep. Female: 0.5mmol/l reduction in LDL,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
Rep. Female: 1 unit reduction in BMI,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
Rep. Female: All interventions combined,13.69837,13.58783,13.54135,13.51691,13.50051,13.48743,13.47602,13.46564,13.45603,13.44704,13.4386,13.43063,13.42309,13.41592,13.4091,13.40259,13.39636,13.39039,13.38466,13.37915,13.37385,13.36874,13.3638,13.35903,13.35441,13.34994,13.3456,13.34139,13.3373,13.33332,13.32945,13.32569,13.32202,13.31844,13.31495,13.31154,13.30822,13.30496,13.30178,13.29867
