Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,2.719061,2.631826,2.602193,2.589925,2.583086,2.578107,2.573897,2.570102,2.566594,2.563316,2.560235,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Male: 0.5% reduction in HbA1c,2.719061,2.631826,2.602193,2.589925,2.583086,2.578107,2.573897,2.570102,2.566594,2.563316,2.560235,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Male: 10mmHg in SBP,2.719061,2.631826,2.602193,2.589925,2.583086,2.578107,2.573897,2.570102,2.566594,2.563316,2.560235,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Male: 0.5mmol/l reduction in LDL,2.219061,2.571561,2.584415,2.58468,2.581539,2.577651,2.573762,2.570062,2.566582,2.563313,2.560234,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Male: 1 unit reduction in BMI,2.719061,2.631826,2.602193,2.589925,2.583086,2.578107,2.573897,2.570102,2.566594,2.563316,2.560235,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Male: All interventions combined,2.219061,2.571561,2.584415,2.58468,2.581539,2.577651,2.573762,2.570062,2.566582,2.563313,2.560234,2.557325,2.554569,2.55195,2.549457,2.547076,2.5448,2.542618,2.540523,2.538508,2.536568,2.534698,2.532892,2.531146,2.529456,2.527819,2.526231,2.52469,2.523193,2.521738,2.520322,2.518943,2.5176,2.51629,2.515012,2.513764,2.512545,2.511354,2.51019,2.509051
Rep. Female: Control,2.819061,2.761325,2.740395,2.730694,2.724613,2.719858,2.715713,2.711937,2.708436,2.70516,2.702078,2.699169,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
Rep. Female: 0.5% reduction in HbA1c,2.819061,2.761325,2.740395,2.730694,2.724613,2.719858,2.715713,2.711937,2.708436,2.70516,2.702078,2.699169,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
Rep. Female: 10mmHg in SBP,2.819061,2.761325,2.740395,2.730694,2.724613,2.719858,2.715713,2.711937,2.708436,2.70516,2.702078,2.699169,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
Rep. Female: 0.5mmol/l reduction in LDL,2.319061,2.671561,2.713915,2.722883,2.722309,2.719178,2.715512,2.711878,2.708418,2.705154,2.702077,2.699168,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
Rep. Female: 1 unit reduction in BMI,2.819061,2.761325,2.740395,2.730694,2.724613,2.719858,2.715713,2.711937,2.708436,2.70516,2.702078,2.699169,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
Rep. Female: All interventions combined,2.319061,2.671561,2.713915,2.722883,2.722309,2.719178,2.715512,2.711878,2.708418,2.705154,2.702077,2.699168,2.696413,2.693794,2.691301,2.68892,2.686643,2.684461,2.682366,2.680352,2.678412,2.676542,2.674735,2.672989,2.671299,2.669662,2.668075,2.666534,2.665037,2.663582,2.662166,2.660787,2.659444,2.658134,2.656856,2.655608,2.654389,2.653198,2.652034,2.650894
