Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Male: 0.5% reduction in HbA1c,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Male: 10mmHg in SBP,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Male: 0.5mmol/l reduction in LDL,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Male: 1 unit reduction in BMI,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Male: All interventions combined,7.0799751,7.1343864,7.1753486,7.2087328,7.2374643,7.2630629,7.2863652,7.3078666,7.3278856,7.3466434,7.3643046,7.3809979,7.3968276,7.4118809,7.4262315,7.4399426,7.4530693,7.4656597,7.477756,7.4893957,7.5006122,7.5114351,7.5218914,7.532005,7.5417977,7.5512894,7.5604981,7.5694401,7.5781304,7.586583,7.5948104,7.6028244,7.6106358,7.6182545,7.62569,7.6329507,7.6400447,7.6469796,7.6537622,7.6603992
Rep. Female: Control,7.1671983,7.2617744,7.3212319,7.3631328,7.3957862,7.4231907,7.4473246,7.469209,7.4894043,7.5082433,7.5259419,7.5426523,7.55849,7.573547,7.5878992,7.6016111,7.6147382,7.6273287,7.6394251,7.6510649,7.6622813,7.6731043,7.6835605,7.6936741,7.7034669,7.7129586,7.7221672,7.7311092,7.7397996,7.7482522,7.7564796,7.7644936,7.772305,7.7799237,7.7873591,7.7946198,7.8017139,7.8086487,7.8154314,7.8220684
Rep. Female: 0.5% reduction in HbA1c,7.1671983,7.2617744,7.3212319,7.3631328,7.3957862,7.4231907,7.4473246,7.469209,7.4894043,7.5082433,7.5259419,7.5426523,7.55849,7.573547,7.5878992,7.6016111,7.6147382,7.6273287,7.6394251,7.6510649,7.6622813,7.6731043,7.6835605,7.6936741,7.7034669,7.7129586,7.7221672,7.7311092,7.7397996,7.7482522,7.7564796,7.7644936,7.772305,7.7799237,7.7873591,7.7946198,7.8017139,7.8086487,7.8154314,7.8220684
Rep. Female: 10mmHg in SBP,7.1671983,7.2617744,7.3212319,7.3631328,7.3957862,7.4231907,7.4473246,7.469209,7.4894043,7.5082433,7.5259419,7.5426523,7.55849,7.573547,7.5878992,7.6016111,7.6147382,7.6273287,7.6394251,7.6510649,7.6622813,7.6731043,7.6835605,7.6936741,7.7034669,7.7129586,7.7221672,7.7311092,7.7397996,7.7482522,7.7564796,7.7644936,7.772305,7.7799237,7.7873591,7.7946198,7.8017139,7.8086487,7.8154314,7.8220684
Rep. Female: 0.5mmol/l reduction in LDL,7.1671983,7.2617744,7.3212319,7.3631328,7.3957862,7.4231907,7.4473246,7.469209,7.4894043,7.5082433,7.5259419,7.5426523,7.55849,7.573547,7.5878992,7.6016111,7.6147382,7.6273287,7.6394251,7.6510649,7.6622813,7.6731043,7.6835605,7.6936741,7.7034669,7.7129586,7.7221672,7.7311092,7.7397996,7.7482522,7.7564796,7.7644936,7.772305,7.7799237,7.7873591,7.7946198,7.8017139,7.8086487,7.8154314,7.8220684
