Patient                                                                       Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Rep. Male: Control,72.112038,71.667005,70.714525,69.661719,68.577113,67.501552,66.425879,65.365963,64.32316,63.299646,62.301469,61.331714,60.38606,59.473835,58.599587,57.768397,56.969072,56.215337,55.496563,54.821413,54.188943,53.594093,53.033876,52.508652,52.025737,51.571992,51.153244,50.76886,50.410668,50.082059,49.781804,49.504466,49.247467,49.012275,48.795521,48.598245,48.418455,48.250567,48.095715,47.952473
Rep. Male: 0.5% reduction in HbA1c,72.113537,71.667278,70.713604,69.657451,68.576899,67.498987,66.430217,65.363143,64.319105,63.298155,62.298482,61.328517,60.386871,59.48063,58.601479,57.759501,56.96562,56.206929,55.489317,54.814629,54.180963,53.587328,53.029714,52.512231,52.031423,51.57873,51.160106,50.774508,50.419185,50.088213,49.787105,49.510793,49.255251,49.021117,48.806974,48.609674,48.426624,48.257618,48.103279,47.958854
Rep. Male: 10mmHg in SBP,72.113591,71.698414,70.759381,69.701429,68.62145,67.538083,66.459798,65.391356,64.34177,63.31233,62.315998,61.336513,60.392548,59.486551,58.607558,57.771395,56.978677,56.214455,55.49696,54.818368,54.179206,53.584727,53.027176,52.503731,52.014858,51.5629,51.150272,50.767919,50.412584,50.086023,49.787031,49.51117,49.257841,49.024534,48.809215,48.610833,48.428711,48.258961,48.102762,47.958756
Rep. Male: 0.5mmol/l reduction in LDL,72.114024,71.689958,70.735489,69.678634,68.59468,67.507871,66.424433,65.358966,64.314413,63.286946,62.284913,61.307635,60.365461,59.454181,58.585245,57.751465,56.95723,56.199293,55.481279,54.807126,54.170419,53.579951,53.02734,52.509359,52.025209,51.576024,51.157993,50.771259,50.415379,50.085508,49.784847,49.505418,49.250573,49.017512,48.801364,48.600901,48.417466,48.249269,48.093376,47.949541
Rep. Male: 1 unit reduction in BMI,72.110937,71.685299,70.739362,69.679515,68.606877,67.528105,66.451689,65.384447,64.337033,63.312937,62.304164,61.32752,60.385239,59.478319,58.607326,57.776962,56.982754,56.226884,55.506202,54.825799,54.19311,53.600125,53.039273,52.519581,52.032747,51.580626,51.160152,50.773906,50.417817,50.092142,49.792281,49.515539,49.258171,49.024187,48.806869,48.608643,48.423711,48.253948,48.097298,47.952688
Rep. Male: All interventions combined,72.111262,71.719045,70.792027,69.743039,68.664484,67.582754,66.508296,65.440594,64.387471,63.355397,62.345936,61.368001,60.424923,59.522925,58.653927,57.814113,57.014753,56.248424,55.529486,54.848105,54.202624,53.602715,53.04769,52.525775,52.039657,51.588362,51.168048,50.788722,50.431605,50.102003,49.798846,49.519049,49.262883,49.026921,48.807085,48.60865,48.424767,48.25578,48.097676,47.953319
Rep. Female: Control,70.026404,68.508124,66.748447,64.97729,63.255256,61.606322,60.036082,58.559755,57.176447,55.901318,54.730236,53.659785,52.681203,51.802086,51.017097,50.31684,49.688183,49.136093,48.646397,48.216346,47.833792,47.495774,47.199551,46.936355,46.700475,46.489149,46.297984,46.124484,45.966498,45.819554,45.683011,45.553451,45.431046,45.315349,45.203982,45.097074,44.993235,44.892298,44.793578,44.696952
Rep. Female: 0.5% reduction in HbA1c,70.030213,68.51266,66.743934,64.966515,63.251086,61.592738,60.022597,58.548364,57.16539,55.884082,54.704668,53.630176,52.65589,51.779728,50.994998,50.294103,49.669823,49.117646,48.633374,48.204042,47.82457,47.488023,47.194445,46.932171,46.697655,46.488196,46.297229,46.124528,45.966226,45.819781,45.683672,45.554817,45.432821,45.315802,45.203824,45.096225,44.99219,44.891274,44.792716,44.695996
Rep. Female: 10mmHg in SBP,70.024336,68.55456,66.808094,65.035552,63.30876,61.657975,60.080507,58.59058,57.203363,55.917112,54.731103,53.654041,52.679061,51.800458,51.008694,50.308752,49.685741,49.132984,48.644817,48.213752,47.833553,47.497992,47.198885,46.933851,46.698138,46.487927,46.298002,46.125118,45.967298,45.819745,45.682882,45.554206,45.432112,45.316539,45.205491,45.098001,44.993779,44.892622,44.793861,44.697063
Rep. Female: 0.5mmol/l reduction in LDL,70.03833,68.554317,66.797877,65.026426,63.297482,61.63961,60.069597,58.590423,57.201107,55.920967,54.744619,53.671569,52.700009,51.822685,51.035979,50.334811,49.709671,49.155336,48.662351,48.228057,47.846073,47.509717,47.208484,46.943857,46.707061,46.49546,46.301005,46.12653,45.967853,45.819705,45.682817,45.554195,45.432448,45.31612,45.204218,45.096847,44.992729,44.891715,44.792977,44.696731
Rep. Female: 1 unit reduction in BMI,70.035797,68.536873,66.781565,65.020722,63.305035,61.654507,60.085116,58.598236,57.21485,55.935299,54.751761,53.672231,52.695148,51.818907,51.031618,50.326116,49.694318,49.138076,48.650782,48.216304,47.832855,47.496326,47.200552,46.936415,46.700923,46.490168,46.299343,46.126085,45.966079,45.8188,45.682574,45.553806,45.432159,45.315808,45.204732,45.097467,44.993539,44.892077,44.793359,44.697058
Rep. Female: All interventions combined,70.033298,68.611235,66.886692,65.139196,63.418558,61.754224,60.181508,58.693467,57.298793,56.004461,54.81356,53.729358,52.743529,51.854414,51.059572,50.347747,49.712185,49.153748,48.661772,48.228366,47.847235,47.510078,47.210482,46.944681,46.707324,46.495254,46.301388,46.126306,45.966906,45.820366,45.682712,45.553857,45.432899,45.316351,45.20502,45.097566,44.993765,44.893044,44.79389,44.696896
